rank,name,pos,age,level,mu_v7,mu_new,off_v7,off_new,chg,b
67,Zyhir Hope,RF,21,AA,48428895.40045746,27412077.755759243,81323.94016970356,46031.57170740609,-0.4339726824432113,51-100
68,Lazaro Montes,RF,21,AAA,50152222.77974405,27222803.090720654,94323.96693566763,51199.38132956328,-0.4571964794007962,51-100
69,JR Ritchie,RHP,23,MLB,38666530.870827354,21291522.778551947,81448.87748727943,44849.397948350015,-0.44935523567707203,51-100
70,Yolfran Castillo,SS,19,A+,53605182.44013136,29571788.628815897,80371.5982085627,44337.72642483168,-0.44834086402293305,51-100
71,Caden Scarborough,RHP,21,A+,34939877.26437485,22148890.140892062,52386.23672412875,33208.388035196294,-0.3660856340936448,51-100
72,Didier Fuentes,RHP,21,MLB,44837640.88037848,22004484.73661818,94447.97442741045,46351.21230479231,-0.5092408007075229,51-100
73,Gage Jump,LHP,23,MLB,53088916.06829593,25159731.016314097,111828.82258623927,52997.56153471607,-0.5260831661368354,51-100
74,Jake Bloss,RHP,25,MLB,30080131.69272678,19545577.67167403,63362.10944878366,41171.662555312636,-0.3502163530620429,51-100
75,Kendry Rojas,LHP,23,MLB,51738862.40667005,24843693.43316281,108985.01030697474,52331.846100418195,-0.5198252864956687,51-100
76,Jeferson Quero,C,23,MLB,61207717.55144969,24473138.731276184,128930.62231981292,51551.29341476028,-0.6001625332507348,51-100
77,Pedro Ramírez,2B,22,MLB,51006334.32606618,26127374.51058066,107441.98101136988,55035.84825557994,-0.4877621602141172,51-100
78,Caden Bodine,C,22,AA,39531494.29715297,24824937.626211192,66383.03125555655,41687.13173275375,-0.37202126892534226,51-100
79,Jhonny Level,2B,19,A+,33987317.0948621,27945426.095803488,50958.0393049881,41899.28017589445,-0.17776898900831384,51-100
80,Michael Arroyo,2B,21,AAA,32560840.687664133,26351601.68911364,61238.91405389962,49560.86627190811,-0.19069651972784885,51-100
81,Felnin Celesten,SS,20,A+,51707443.52522239,26900371.246593308,77526.27052510294,40332.40315723235,-0.4797582434437788,51-100
82,Brody Hopkins,RHP,24,AAA,33865918.18731287,19128137.754570555,63693.44308775672,35975.31142391804,-0.4351802998881483,51-100
83,Dax Kilby,SS,19,A,41258463.30712173,27307283.730876055,55232.01043851263,36555.80114179463,-0.338141037207208,51-100
84,Luis Hernández,SS,17,CPX/DSL/R,34187626.81239126,28628251.61420794,33785.299794004335,32332.969675070144,-0.0429870425240958,51-100
85,Josh Hammond,SS,19,A,40209258.62211417,27004882.24880159,53827.45778508234,36150.9813672376,-0.32839144082230043,51-100
86,Taitn Gray,1B,18,A,105423465.63052988,31156893.636096753,141128.6191350836,41709.209131971766,-0.7044595958807681,51-100
87,Eduardo Tait,C,19,A+,39875077.691956244,25534759.8597334,59785.70684602031,38284.907659640805,-0.3596310944646919,51-100
88,Aiva Arquette,SS,22,AA,37533943.85753466,24545620.68888253,63028.656329302285,41218.0903946875,-0.34604205776912567,51-100
89,Ronny Cruz,3B,19,A+,49930761.21357815,29861748.743241068,74862.44605150449,44772.470916917235,-0.4019368417896164,51-100
90,Dorian Soto,SS,18,CPX/DSL/R,36146908.45051783,26996481.96185023,35721.52420315232,30490.036358800233,-0.14645197709369928,51-100
91,Michael Forret,RHP,22,AAA,23855584.580417998,19207437.912960317,44866.473437807086,36124.45547184587,-0.19484522174623797,51-100
92,Tanner McDougal,RHP,23,AAA,26479650.983478785,18611235.59912497,49801.69542639798,35003.14590229501,-0.2971495126300223,51-100
93,Jack Wenninger,RHP,24,AAA,29392359.421886176,18034536.047997456,55279.7819240625,33918.51622134822,-0.3864209473919077,51-100
94,Karson Milbrandt,RHP,22,AAA,22951421.524362724,18918271.89299242,43165.965634227636,35580.60547687841,-0.17572548293312262,51-100
95,Logan Henderson,RHP,24,MLB,25197672.32029046,17855963.580502268,53077.48276244664,37612.58528581655,-0.29136456123672483,51-100
96,Connor Prielipp,LHP,25,MLB,32754089.96291665,20995548.96269472,68994.65249440528,44225.94571396854,-0.35899458704347,51-100
97,David Davalillo,RHP,23,AAA,24828175.105756138,18156246.16504018,46695.67644156688,34147.42294610281,-0.26872409721200763,51-100
98,Trey Gibson,RHP,24,MLB,24242642.09104617,17598207.6527092,51065.76517655238,37069.63688802593,-0.27408045762433775,51-100
99,Khal Stephen,RHP,23,AA,16617345.892231816,17983771.97425458,27904.58117916033,30199.144208563892,0.08222890050459464,51-100
100,Jimmy Crooks,C,24,MLB,40927798.27536048,20963992.729170173,86212.11038275372,44159.47427884323,-0.48778107759119305,51-100
