Rank,Name,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Total
11,Trevor Cahill,,,,"$400,000.00","$410,000.00","$700,000.00","$3,700,000.00","$5,700,000.00","$7,900,000.00","$12,291,516.00","$4,550,000.00","$1,750,000.00","$1,500,000.00","$9,000,000.00","$740,740.00","$1,500,000.00",,,,,,,,"$50,142,256"
12,Pedro Alvarez,,,,"$6,400,000.00","$500,000.00","$550,000.00","$700,000.00","$700,000.00","$4,250,000.00","$5,750,000.00","$5,950,000.00","$2,000,000.00","$1,000,000.00",,,,,,,,,,,"$27,800,000"
13,Mike Moustakas,,,,,,"$251,114.00","$487,250.00","$524,500.00","$549,000.00","$2,700,000.00","$5,600,000.00","$8,700,000.00","$7,700,000.00","$11,050,000.00","$4,444,444.00","$14,000,000.00","$16,000,000.00","$22,716,135.00",,,,,,"$94,722,443"
14,Buster Posey,,,,"$70,967.00","$400,000.00","$575,000.00","$790,000.00","$10,025,000.00","$10,550,000.00","$16,575,000.00","$20,075,000.00","$21,400,000.00","$21,425,000.00",,"$24,425,000.00",,,,,,,,,"$126,310,967"
15,Dexter Fowler,,,,,"$406,000.00","$424,000.00","$2,350,000.00","$4,250,000.00","$7,350,000.00","$9,500,000.00","$8,000,000.00","$16,500,000.00","$16,500,000.00","$16,500,000.00","$7,370,370.00","$16,500,000.00",,,,,,,,"$105,650,370"
16,Giancarlo Stanton,,,,,"$257,948.00","$416,000.00","$480,000.00","$537,000.00","$6,500,000.00","$6,550,000.00","$9,000,000.00","$14,500,000.00","$25,000,000.00","$26,000,000.00","$9,629,630.00","$19,000,000.00","$19,000,000.00","$22,000,000.00","$32,000,000.00","$32,000,000.00","$39,000,000.00","$35,000,000.00","$20,000,000.00","$316,870,578"
17,Lars Anderson,,,,,,,"$480,000.00",,,,,,,,,,,,,,,,,"$480,000"
18,Logan Morrison,,,,,"$276,000.00","$414,000.00","$480,000.00","$303,494.00","$1,750,000.00","$2,750,000.00","$4,200,000.00","$2,750,000.00","$5,500,000.00","$1,252,672.00","$99,504.00",,,,,,,,,"$19,775,670"
19,Alcides Escobar,,,,"$400,000.00","$405,500.00","$428,000.00","$1,000,000.00","$3,000,000.00","$3,000,000.00","$3,100,000.00","$5,250,000.00","$6,500,000.00","$3,775,000.00",,,"$282,164.00","$1,000,000.00",,,,,,,"$28,140,664"
20,Gordon Beckham,,,,"$271,739.00","$445,000.00","$485,000.00","$520,000.00","$2,925,000.00","$4,175,000.00","$2,000,000.00","$1,250,000.00","$84,767.00","$143,570.00","$700,000.00",,,,,,,,,,"$13,000,076"
21,Rick Porcello,,"$3,960,000.00","$1,100,000.00","$1,200,000.00","$1,025,000.00","$1,536,000.00","$3,100,000.00","$5,100,000.00","$8,500,000.00","$12,500,000.00","$20,500,000.00","$20,000,000.00","$21,000,000.00","$21,000,000.00","$3,703,704.00",,,,,,,,,"$120,264,704"
22,Chris Tillman,,,,"$146,448.00","$400,000.00","$417,000.00","$480,000.00","$508,500.00","$546,000.00","$4,315,000.00","$6,225,000.00","$10,050,000.00","$3,000,000.00",,,,,,,,,,,"$26,087,948"
23,Justin Smoak,,,,,"$400,000.00","$419,000.00","$495,100.00","$514,000.00","$2,637,500.00","$1,150,000.00",,"$4,125,000.00","$4,125,000.00","$8,000,000.00","$1,518,861.00","$1,000,000.00",,,,,,,,"$24,384,461"
24,Eric Hosmer,,,,,,"$414,000.00","$502,500.00","$528,250.00","$3,600,000.00","$5,700,000.00","$8,350,000.00","$12,250,000.00","$25,000,000.00","$20,000,000.00","$7,407,407.00","$20,000,000.00","$19,999,999.00","$13,197,421.00","$13,000,000.00","$13,000,000.00",,,,"$162,949,577"
25,Brian Matusz,,,,"$3,625,000.00","$500,000.00","$550,000.00","$650,000.00","$1,600,000.00","$2,400,000.00","$3,200,000.00","$7,802,773.00",,,,,,,,,,,,,"$20,327,773"
26,Carlos Santana,,,,,"$251,390.00","$416,600.00","$1,501,900.00","$550,000.00","$3,500,000.00","$6,000,000.00","$8,250,000.00","$12,000,000.00","$25,000,000.00","$17,000,000.00","$6,981,481.00","$7,250,000.00","$11,175,000.00","$6,725,000.00","$5,500,000.00","$12,000,000.00","$2,000,000.00",,,"$126,101,371"
27,Matt LaPorta,,,,,,,"$480,000.00",,,,,,,,,,,,,,,,,"$480,000"
28,Tim Beckham,,,,,,,,"$34,808.00","$191,333.00","$410,922.00","$401,973.00","$885,000.00","$3,350,000.00","$1,047,280.00",,,"$153,860.00",,,,,,,"$6,475,176"
29,Jarrod Parker,,,,,,"$414,000.00","$480,000.00","$495,000.00","$500,000.00","$850,000.00","$850,000.00",,,,,,,,,,,,,"$3,589,000"
30,Fernando Martinez,,,,,,,,"$99,677.00",,,,,,,,,,,,,,,,"$99,677"
31,Derek Holland,,,,"$400,000.00","$414,430.00","$431,810.00","$1,000,000.00","$3,200,000.00","$5,400,000.00","$7,400,000.00","$10,000,000.00","$7,500,000.00","$1,750,000.00","$7,000,000.00","$370,370.00","$925,000.00",,,,,,,,"$45,791,610"
32,Wade Davis,,,,"$400,000.00","$404,900.00","$1,000,000.00","$1,500,000.00","$2,800,000.00","$4,800,000.00","$7,025,000.00","$8,025,000.00","$10,000,000.00","$16,000,000.00","$18,000,000.00","$6,296,296.00","$2,250,000.00",,,,,,,,"$78,501,196"
33,Andrew McCutchen,,,,"$268,878.00","$422,500.00","$452,500.00","$1,850,000.00","$4,650,000.00","$7,325,000.00","$10,050,000.00","$13,000,000.00","$14,000,000.00","$14,749,996.00","$10,000,000.00","$6,296,296.00","$20,000,000.00","$11,500,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$427,776.00",,,"$129,992,946"
34,Mat Gamel,,,,"$400,000.00","$406,500.00","$414,000.00","$481,000.00","$491,000.00",,,,,,,,,,,,,,,,"$2,192,500"
35,Yonder Alonso,,,,"$800,000.00","$900,000.00","$1,000,000.00","$1,400,000.00","$1,120,000.00","$980,000.00","$1,650,000.00","$2,650,000.00","$4,000,000.00","$7,000,000.00","$8,000,000.00","$1,000,000.00",,,,,,,,,"$30,500,000"
36,Austin Jackson,,,,,"$400,000.00","$440,000.00","$500,000.00","$3,500,000.00","$6,000,000.00","$7,699,999.00","$5,000,000.00","$1,500,000.00","$3,193,380.00","$3,000,000.00",,,,,,,,,,"$31,233,379"
37,Elvis Andrus,,,,"$400,000.00","$418,420.00","$452,180.00","$3,125,000.00","$4,800,000.00","$6,475,000.00","$17,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$5,555,556.00","$14,800,000.00","$14,184,608.00","$3,000,000.00",,,,,,"$130,210,764"
38,Jesus Montero,,,,,,"$414,000.00","$486,900.00","$503,300.00",,"$194,125.00",,,,,,,,,,,,,,"$1,598,325"
39,Aaron Hicks,,,,,,,,"$332,072.00","$288,415.00","$408,060.00","$574,000.00","$1,350,000.00","$2,825,000.00","$8,000,000.00","$3,888,888.00","$10,500,000.00","$10,500,000.00","$10,500,000.00","$9,500,000.00","$10,785,714.00","$1,000,000.00",,,"$70,452,149"
40,Brett Wallace,,,"$1,840,000.00",,,"$418,000.00","$480,000.00","$495,000.00",,"$299,508.00","$1,000,000.00",,,,,,,,,,,,,"$4,532,508"
41,Jordan Zimmermann,,,,"$400,000.00","$401,000.00","$415,000.00","$2,300,000.00","$5,350,000.00","$7,500,000.00","$16,500,000.00","$18,000,000.00","$18,000,000.00","$24,000,000.00","$25,000,000.00","$9,259,259.00","$64,512.00",,,,,,,,"$127,189,771"
42,Jordan Schafer,,,,"$400,000.00","$402,500.00","$414,000.00","$489,000.00","$512,500.00","$1,090,000.00","$1,550,000.00",,,,,,,,,,,,,,"$4,858,000"
43,J.P. Arencibia,,,,,,"$417,400.00","$489,600.00","$505,600.00","$1,800,000.00","$108,155.00",,,,,,,,,,,,,,"$3,320,755"
44,Angel Villalona,,,,,,,"$481,000.00",,,,,,,,,,,,,,,,,"$481,000"
45,Tim Alderson,,,,,,,,,,,,,,,,,,,,,,,,$0
46,Jhoulys Chacin,,,,,"$400,000.00","$419,000.00","$482,000.00","$1,650,000.00","$4,850,000.00","$1,441,202.00","$1,322,407.00","$1,750,000.00","$9,500,000.00","$6,086,536.00","$88,450.00","$850,000.00","$1,250,000.00",,,,,,,"$30,089,595"
47,Wilmer Flores,,,,,,,,"$147,267.00","$327,868.00","$513,543.00","$526,014.00","$2,200,000.00","$3,400,000.00","$4,250,000.00","$1,111,111.00","$3,000,000.00","$3,500,000.00","$6,500,000.00","$6,500,000.00","$3,500,000.00",,,,"$35,475,803"
48,Domonic Brown,,,,,,"$414,000.00","$480,000.00","$500,000.00","$550,000.00","$2,600,000.00",,,,,,,,,,,,,,"$4,544,000"
49,Andrew Lambo,,,,,,,,"$107,103.00","$84,699.00","$515,500.00","$520,000.00",,,,,,,,,,,,,"$1,227,302"
50,Kyle Blanks,,,,,,,,,"$987,500.00","$1,000,000.00",,,,,,,,,,,,,,"$1,987,500"
51,Josh Vitters,,,,,,,"$480,000.00",,,,,,,,,,,,,,,,,"$480,000"
52,Carlos Carrasco,,,,"$74,324.00","$72,138.00","$415,800.00","$488,500.00","$214,207.00","$504,700.00","$2,337,500.00","$4,500,000.00","$6,500,000.00","$8,000,000.00","$9,750,000.00","$3,796,296.00","$12,000,000.00","$12,000,000.00","$14,000,000.00","$2,000,000.00","$1,637,097.00","$145,662.00",,,"$78,436,224"
53,Jason Castro,,,,,"$227,322.00","$421,500.00","$486,000.00","$496,600.00","$2,450,000.00","$4,000,000.00","$5,000,000.00","$8,500,000.00","$8,000,000.00","$8,000,000.00","$3,333,333.00","$4,500,000.00","$3,750,000.00",,,,,,,"$49,164,755"
54,Michael Ynoa,,,,,,,,,,,"$507,500.00","$540,000.00",,,,,,,,,,,,"$1,047,500"
55,Aaron Cunningham,,,,,,,,,,,,,,,,,,,,,,,,$0
56,James McDonald,,,,"$400,750.00","$400,000.00","$443,000.00","$502,500.00","$3,025,000.00","$1,000,000.00",,,,,,,,,,,,,,,"$5,771,250"
57,Greg Halman,,,,,,,,,,,,,,,,,,,,,,,,$0
58,Nick Weglarz,,,,,,,,,,,,,,,,,,,,,,,,$0
59,Ben Revere,,,,,,"$414,000.00","$492,500.00","$515,000.00","$1,950,000.00","$4,100,000.00","$6,250,000.00","$4,000,000.00",,,,,,,,,,,,"$17,721,500"
60,Todd Frazier,,,,,,"$414,000.00","$480,000.00","$527,500.00","$600,000.00","$4,500,000.00","$7,500,000.00","$12,000,000.00","$8,000,000.00","$9,000,000.00","$2,796,296.00","$145,170.00",,,,,,,,"$45,962,966"
