Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
11,Prince Fielder,,,"$190,279.00","$329,500.00","$415,000.00","$670,000.00","$7,500,000.00","$10,500,000.00","$15,500,000.00","$23,150,000.00","$23,050,000.00","$24,000,000.00","$24,050,000.00","$24,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00",,,,,,,,,,,,,,,,,,,,"$213,354,779"
12,Howie Kendrick,,,,"$327,500.00","$395,000.00","$432,500.00","$465,000.00","$1,750,000.00","$3,350,000.00","$5,900,000.00","$8,750,000.00","$9,350,000.00","$9,500,000.00","$5,000,000.00","$10,000,000.00","$8,000,000.00","$9,000,000.00","$3,731,481.00",,,,,,,,,,,,,,,,,,,,"$75,951,481"
13,Alex Gordon,,,,,"$380,000.00","$406,000.00","$457,000.00","$1,150,000.00","$1,400,000.00","$6,025,000.00","$9,050,000.00","$10,800,000.00","$14,000,000.00","$12,000,000.00","$16,000,000.00","$20,000,000.00","$24,000,000.00","$1,481,481.00",,,,,,,,,,,,,,,,,,,,"$117,149,481"
14,Andy Marte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
15,Ryan Zimmerman,,,,"$327,000.00","$400,000.00","$465,000.00","$4,025,000.00","$6,425,000.00","$8,925,000.00","$12,175,000.00","$14,175,000.00","$14,000,000.00","$14,000,000.00","$14,000,000.00","$14,000,000.00","$14,000,000.00","$20,000,000.00",,"$1,000,000.00",,,,,,,,,,,,,,,,,,,"$137,917,000"
16,Ian Stewart,,,,,,,,,,,"$2,000,000.00","$900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,900,000"
17,Conor Jackson,"$1,500,000.00",,"$316,000.00","$328,000.00","$392,000.00","$419,500.00","$3,050,000.00","$3,100,000.00","$3,200,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,305,500"
18,Jarrod Saltalamacchia,,,,,,"$396,710.00","$410,890.00","$418,580.00","$750,000.00","$2,500,000.00","$4,500,000.00","$6,000,000.00","$7,415,983.00","$8,000,000.00","$1,250,000.00","$76,890.00",,,,,,,,,,,,,,,,,,,,,,"$31,719,053"
19,Andy LaRoche,,,,,,"$392,500.00","$413,500.00","$451,000.00","$600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,857,000"
20,Carlos Quentin,,,,"$327,000.00","$381,000.00","$400,000.00","$550,000.00","$3,200,000.00","$5,050,000.00","$7,025,000.00","$9,500,000.00","$9,500,000.00","$8,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$43,933,000"
21,Nick Markakis,,,,"$327,000.00","$400,000.00","$455,000.00","$5,100,000.00","$6,750,000.00","$10,325,000.00","$12,000,000.00","$15,000,000.00","$15,000,000.00","$14,500,000.00","$10,525,000.00","$10,500,000.00","$10,550,000.00","$6,000,000.00","$1,481,481.00",,,,,,,,,,,,,,,,,,,,"$118,913,481"
