Rank,Name,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,Total
68,Aaron Judge,,,,,"$141,423","$544,500","$544,500","$684,300","$3,148,148","$10,175,000","$19,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000","$40,000,000",,,,,,,,,,,,,"$394,237,871"
69,Matt Wisler,,,,"$302,281","$435,361","$216,302","$149,430","$533,310","$268,519","$1,193,817","$2,160,000",,,,,,,,,,,,,,,,,,,,,,"$5,259,020"
70,J.T. Realmuto,,,"$95,620","$482,540","$532,500","$562,500","$2,900,000","$5,900,000","$3,703,704","$10,000,000","$23,875,000","$23,875,000","$23,875,000","$23,875,000","$20,000,000","$20,000,000","$15,000,000",,,,,,,,,,,,,,,,"$174,676,864"
71,Domingo Santana,,,,"$193,715","$513,800","$542,200","$356,932","$1,950,000","$805,556",,,,,,,,,,,,,,,,,,,,,,,,"$4,362,203"
72,Brandon Nimmo,,,,,"$183,018","$442,430","$546,987","$598,285","$805,556","$4,700,000","$7,000,000","$20,250,000","$20,250,000","$20,250,000","$21,250,000","$20,250,000","$20,250,000","$20,250,000","$20,250,000",,,,,,,,,,,,,,"$177,276,276"
73,Matt Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
74,Nick Kingham,,,,,,,"$263,700","$321,195",,,,,,,,,,,,,,,,,,,,,,,,,"$584,895"
75,Brandon Finnegan,,,,"$321,693","$511,500","$567,000","$130,410",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,530,603"
76,Tim Anderson,,,,,"$318,895","$850,000","$1,000,000","$1,400,000","$1,481,481","$7,250,000","$9,448,925","$12,096,776","$6,000,000","$1,250,000",,,,,,,,,,,,,,,,,,,"$41,096,077"
77,Willy Adames,,,,,,,"$272,490","$562,400","$214,630","$1,049,520","$4,600,000","$8,700,000","$12,250,000","$21,000,000","$21,000,000","$28,000,000","$28,000,000","$28,000,000","$28,000,000","$28,000,000",,,,,,,,,,,,,"$209,649,040"
78,Mike Foltynewicz,,,"$161,202","$347,506","$507,500","$544,000","$2,200,000","$5,475,000","$2,379,630","$2,000,000",,,,,,,,,,,,,,,,,,,,,,,"$13,614,838"
79,Kyle Crick,,,,,,"$535,000","$501,030","$581,500","$218,519","$494,615","$1,250,000",,,,,,,,,,,,,,,,,,,,,,"$3,580,664"
