Rank,Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,Total
82,Drew Pomeranz,,,,,,,,,,,,,,"$49,764.00","$309,514.00","$222,240.00","$369,781.00","$517,500.00","$2,102,460.00","$4,450,000.00","$8,500,000.00","$1,500,000.00","$3,481,481.00","$8,000,000.00","$10,000,000.00","$10,000,000.00","$64,516.00","$1,282,258.00","$4,000,000.00",,,,,,,,,,,,,,,,"$54,849,514.00"
83,Chris Colon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
84,Yonder Alonso,,,,,,,,,,,,"$800,000.00","$900,000.00","$1,000,000.00","$1,400,000.00","$1,120,000.00","$980,000.00","$1,650,000.00","$2,650,000.00","$4,000,000.00","$7,000,000.00","$8,000,000.00","$1,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$30,500,000.00"
85,Tyler Chatwood,,,,,,,,,,,,,,"$414,000.00","$480,000.00","$390,928.00","$502,000.00","$1,000,000.00","$1,250,000.00","$4,400,000.00","$12,500,000.00","$12,500,000.00","$4,814,815.00","$3,036,804.00",,,,,,,,,,,,,,,,,,,,,"$41,288,547.00"
86,Chris Carter,,,,,,,,,,,,,,,"$480,000.00","$494,000.00","$510,000.00","$4,175,000.00","$2,500,000.00","$3,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$11,659,000.00"
87,Tanner Scheppers,,,,,,,,,,,,,,,"$480,000.00","$493,600.00","$515,179.00","$405,403.00","$900,000.00","$975,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$3,769,182.00"
88,Arodys Vizcaino,,,,,,,,,,,,,,"$113,736.00","$480,000.00","$491,000.00","$73,770.00","$252,363.00","$897,500.00","$1,550,000.00","$3,400,000.00","$4,800,000.00",,,"$104,405.00",,,,,,,,,,,,,,,,,,,,"$12,162,774.00"
89,Zach Lee,,,,,,,,,,,,,,,,,,"$16,639.00","$8,319.00","$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$559,958.00"
90,Luis Heredia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
91,Trevor May,,,,,,,,,,,,,,,,,"$139,344.00","$493,278.00","$545,000.00","$555,000.00","$650,000.00","$900,000.00","$816,667.00","$8,000,000.00","$7,750,000.00","$7,125,000.00",,,,,,,,,,,,,,,,,,,"$26,974,289.00"
92,Tyler Skaggs,,,,,,,,,,,,,,,"$480,000.00","$56,229.00","$502,250.00","$515,000.00","$515,000.00","$555,000.00","$1,875,000.00","$3,700,000.00",,,,,,,,,,,,,,,,,,,,,,,"$8,198,479.00"
