Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
11,Jose Fernandez,,,,,,,,"$2,000,000.00",,"$490,000.00","$635,000.00","$651,000.00","$2,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,576,000"
12,Xander Bogaerts,,,,,,,,,,"$112,459.00","$517,000.00","$543,000.00","$650,500.00","$4,500,000.00","$7,050,000.00","$12,000,000.00","$7,407,407.00","$20,000,000.00","$20,000,000.00","$30,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00","$25,000,000.00",,,,,,,,,,"$352,780,366"
13,Jameson Taillon,,,,,,,,,,,,,"$302,257.00","$555,500.00","$571,000.00","$587,500.00","$833,333.00","$2,250,000.00","$5,800,000.00","$14,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00",,,,,,,,,,,,,,,,,"$78,899,590"
14,Billy Hamilton,,,,,,,,,,"$77,650.00","$500,000.00","$545,000.00","$570,000.00","$2,625,000.00","$4,600,000.00","$5,450,000.00","$281,926.00","$1,250,000.00","$367,049.00","$231,168.00",,,,,,,,,,,,,,,,,,,,"$16,497,793"
15,Christian Yelich,,,,,,,,,,"$180,983.00","$505,000.00","$570,000.00","$1,000,000.00","$3,500,000.00","$7,000,000.00","$9,750,000.00","$4,629,630.00","$14,000,000.00","$22,000,000.00","$22,000,000.00","$22,050,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$6,500,000.00",,"$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,333.00","$2,333,337.00","$229,685,613"
16,Nick Castellanos,,,,,,,,,,"$80,327.00","$500,000.00","$525,000.00","$536,500.00","$3,000,000.00","$6,050,000.00","$9,950,000.00","$5,925,926.00","$13,924,496.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00","$20,000,000.00",,,,,,,,,,,,,,,,,"$140,492,249"
17,Mike Zunino,,,,,,,,,,"$297,213.00","$504,100.00","$417,655.00","$507,500.00","$570,000.00","$2,975,000.00","$4,447,500.00","$1,666,667.00","$2,000,000.00","$7,000,000.00","$6,000,000.00",,,,,,,,,,,,,,,,,,,,"$26,385,635"
18,Kyle Zimmer,,,,,,,,,,,,,,,,"$185,008.00","$209,537.00","$588,700.00",,,,,,,,,,,,,,,,,,,,,,"$983,245"
19,Javier Baez,,,,,,,,,,,"$150,273.00","$91,516.00","$521,000.00","$609,000.00","$657,000.00","$5,200,000.00","$3,703,704.00","$11,650,000.00","$20,000,000.00","$22,000,000.00","$25,000,000.00","$25,050,000.00","$24,000,000.00","$24,000,000.00",,,,,,,,,,,,,,,,"$162,632,493"
20,Nolan Arenado,,,,,,,,,,"$415,027.00","$500,000.00","$512,500.00","$5,000,000.00","$11,750,000.00","$17,272,850.00","$26,050,000.00","$12,987,963.00","$15,050,000.00","$31,075,000.00","$31,025,000.00","$31,000,000.00","$28,000,000.00","$23,000,000.00","$17,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$2,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00","$3,000,000.00",,"$288,638,340"
21,Carlos Martinez,,,,,,,,,,"$195,464.00","$460,846.00","$520,000.00","$539,000.00","$4,500,000.00","$11,500,000.00","$11,500,000.00","$4,259,259.00","$12,000,000.00",,,,,,,,,,,,,,,,,,,,,,"$45,474,569"
22,Trevor Rosenthal,,,,,,,,,"$152,134.00","$490,000.00","$521,000.00","$535,000.00","$5,600,000.00","$6,400,000.00",,"$7,071,616.00","$1,149,802.00","$3,000,000.00","$4,879,100.00","$5,000,000.00",,,,,,,,,,,,,,,,,,,,"$34,798,652"
