Rank,Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Career
14,Andrew McCutchen,,,"$268,878.00","$422,500.00","$452,500.00","$1,850,000.00","$4,650,000.00","$7,325,000.00","$10,050,000.00","$13,000,000.00","$14,000,000.00","$14,749,996.00","$10,000,000.00","$6,296,296.00","$20,000,000.00","$11,500,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$427,776.00",,"$129,992,946.00"
15,Jake McGee,,,,"$400,000.00","$415,200.00","$484,200.00","$506,200.00","$1,450,000.00","$3,550,000.00","$4,800,000.00","$5,900,000.00","$7,000,000.00","$8,500,000.00","$3,727,222.00","$4,000,000.00","$3,176,916.00",,,,,,"$43,909,738.00"
16,Brandon Wood,,,,,,"$580,000.00",,,,,,,,,,,,,,,,"$580,000.00"
17,Wade Davis,,,"$400,000.00","$404,900.00","$1,000,000.00","$1,500,000.00","$2,800,000.00","$4,800,000.00","$7,025,000.00","$8,025,000.00","$10,000,000.00","$16,000,000.00","$18,000,000.00","$6,296,296.00","$1,250,000.00",,,,,,,"$77,501,196.00"
18,Mike Moustakas,"$4,000,000.00",,,,"$251,114.00","$487,250.00","$524,500.00","$549,000.00","$2,700,000.00","$5,600,000.00","$8,700,000.00","$7,700,000.00","$11,050,000.00","$4,444,444.00","$14,000,000.00","$16,000,000.00","$22,716,135.00",,,,,"$98,722,443.00"
19,Elvis Andrus,,,"$400,000.00","$418,420.00","$452,180.00","$3,125,000.00","$4,800,000.00","$6,475,000.00","$17,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$15,000,000.00","$5,555,556.00","$14,800,000.00","$14,184,608.00","$3,000,000.00",,,,,"$130,210,764.00"
20,Fernando Martinez,,,,,,,"$493,000.00",,,,,,,,,,,,,,,"$493,000.00"
21,Rick Porcello,"$3,960,000.00","$1,100,000.00","$1,200,000.00","$1,025,000.00","$1,536,000.00","$3,100,000.00","$5,100,000.00","$8,500,000.00","$12,500,000.00","$20,500,000.00","$20,000,000.00","$21,000,000.00","$21,000,000.00","$10,000,000.00",,,,,,,,"$130,521,000.00"
22,Carlos Gonzalez,"$380,000.00",,"$403,000.00","$406,000.00","$1,428,571.00","$5,050,000.00","$7,550,000.00","$10,500,000.00","$16,050,000.00","$17,050,000.00","$20,000,000.00","$8,000,000.00","$539,950.00",,,,,,,,,"$87,357,521.00"
23,Matt LaPorta,,,,,,"$480,000.00",,,,,,,,,,,,,,,,"$480,000.00"
24,Nick Adenhart,,,,,,,,,,,,,,,,,,,,,,$0.00
25,Jordan Schafer,,,"$400,000.00","$402,500.00","$414,000.00","$489,000.00","$512,500.00","$1,090,000.00","$1,550,000.00",,,,,,,,,,,,,"$4,858,000.00"
26,Gio Gonzalez,,,"$405,000.00","$405,000.00","$420,000.00","$3,750,000.00",,"$8,500,000.00","$11,000,000.00","$12,000,000.00","$12,000,000.00","$12,000,000.00","$1,709,677.00","$2,166,667.00","$1,000,000.00",,,,,,,"$65,356,344.00"
27,Chris Marrero,,,,,,,"$53,551.00",,,,"$535,000.00",,,,,,,,,,,"$588,551.00"
28,Jason Heyward,,,,"$400,000.00","$496,500.00","$565,000.00","$3,650,000.00","$5,500,000.00","$7,800,000.00","$15,000,000.00","$21,500,000.00","$21,500,000.00","$20,000,000.00","$7,777,778.00","$21,000,000.00","$22,000,000.00","$22,000,000.00","$14,123,318.00","$1,000,000.00","$5,000,000.00",,"$189,312,596.00"
29,Adam Miller,,,,,,,,,,,,,,,,,,,,,,$0.00
30,Kosuke Fukudome,,"$7,000,000.00","$12,500,000.00","$14,000,000.00","$14,500,000.00","$1,000,000.00",,,,,,,,,,,,,,,,"$49,000,000.00"
31,Andy LaRoche,,"$392,500.00","$413,500.00","$451,000.00","$600,000.00",,,,,,,,,,,,,,,,,"$1,857,000.00"
32,Chase Headley,"$380,000.00","$390,000.00","$411,500.00","$427,700.00","$2,325,000.00","$3,475,000.00","$8,575,000.00","$10,525,000.00","$14,000,000.00","$13,750,000.00","$14,000,000.00","$14,000,000.00",,,,,,,,,,"$82,259,200.00"
33,Angel Villalona,,,,,,"$481,000.00",,,,,,,,,,,,,,,,"$481,000.00"
34,Johnny Cueto,,"$390,000.00","$418,000.00","$445,000.00","$3,400,000.00","$5,400,000.00","$7,400,000.00","$10,025,000.00","$10,000,000.00","$15,000,000.00","$22,000,000.00","$22,000,000.00","$22,000,000.00","$8,777,778.00","$27,000,000.00","$3,206,451.00","$6,000,000.00","$2,548,384.00",,,,"$166,010,613.00"
35,Deolis Guerra,,,,,,,,,"$163,620.00","$507,500.00","$225,071.00",,"$5,968.00","$124,380.00","$545,926.00","$815,000.00",,,,,,"$2,387,465.00"
36,Brett Anderson,,,"$400,000.00","$1,500,000.00","$1,000,000.00","$3,000,000.00","$5,500,000.00","$9,000,000.00","$13,900,000.00","$15,800,000.00","$3,599,382.00","$3,268,817.00","$1,500,000.00","$1,999,852.00","$2,500,000.00",,,,,,,"$62,968,051.00"
37,Jose Tabata,,"$550,000.00",,"$400,000.00","$1,500,000.00","$750,000.00","$1,000,000.00","$3,166,667.00","$4,000,000.00","$4,500,000.00","$250,000.00","$250,000.00","$250,000.00",,,,,,,,,"$16,616,667.00"
38,Ian Stewart,,,,,,,"$2,000,000.00","$900,000.00",,,,,,,,,,,,,,"$2,900,000.00"
39,Reid Brignac,,,,,,,"$499,000.00",,"$63,784.00","$507,500.00",,,,,,,,,,,,"$1,070,284.00"
