Rank,Name,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Total
46,Dee Strange-Gordon,,,,,"$414,000.00","$485,000.00","$175,213.00","$515,000.00","$2,500,000.00","$3,188,524.00","$7,500,000.00","$10,500,000.00","$13,000,000.00","$6,000,000.00",,"$320,908.00",,,,,,,,,,,,,,,,,,,"$44,598,645"
47,Casey Crosby,,,,,,"$482,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$482,000"
48,Chris Withrow,,,,,,"$480,000.00","$265,081.00","$506,600.00","$522,500.00","$610,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"$2,384,181"
49,Zack Wheeler,,,,,,,"$262,404.00","$512,375.00","$546,250.00","$546,250.00","$800,000.00","$1,900,000.00","$5,975,000.00","$7,962,963.00","$22,500,000.00","$26,000,000.00","$24,500,000.00","$23,500,000.00","$42,000,000.00","$42,000,000.00","$42,000,000.00",,,,,,,,,,,,,,"$241,005,242"
50,Shelby Miller,,,,,,"$480,000.00","$490,000.00","$521,000.00","$535,000.00","$4,350,000.00","$4,700,000.00","$4,900,000.00","$2,000,000.00","$370,370.00","$361,568.00","$49,998.00","$1,500,000.00","$3,350,000.00","$999,980.00",,,,,,,,,,,,,,,,"$24,607,916"
51,Julio Teheran,,,,,"$85,967.00","$480,000.00","$490,000.00","$1,800,000.00","$1,000,000.00","$3,300,000.00","$6,300,000.00","$8,000,000.00","$12,000,000.00","$3,333,333.00","$3,000,000.00",,"$1,500,000.00","$120,968.00",,,,,,,,,,,,,,,,,"$41,410,268"
52,Grant Green,,,,,,,"$190,108.00","$502,250.00","$148,139.00","$507,500.00","$26,307.00",,,,,,,,,,,,,,,,,,,,,,,,"$1,374,304"
53,Donavan Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
54,Reid Brignac,,,,,,,"$499,000.00",,"$63,784.00","$507,500.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,070,284"
55,Jared Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
56,Jenrry Mejia,,,,"$400,000.00","$414,000.00","$480,000.00","$494,925.00","$509,675.00","$311,967.00",,,"$1,792,000.00","$625,000.00",,,,,,,,,,,,,,,,,,,,,,"$5,027,567"
57,Simon Castro,,,,,,,,,"$116,475.00",,"$535,000.00",,,,,,,,,,,,,,,,,,,,,,,,"$651,475"
58,Wilson Ramos,,,,"$400,000.00","$415,000.00","$491,250.00","$501,250.00","$2,095,000.00","$3,550,000.00","$5,350,000.00","$4,000,000.00","$10,500,000.00","$8,750,000.00","$5,111,926.00","$2,311,808.00",,,,,,,,,,,,,,,,,,,,"$43,476,234"
59,Brett Lawrie,,,,,"$414,000.00","$482,500.00","$500,000.00","$516,100.00","$1,925,000.00","$4,125,000.00","$573,770.00",,,,,,,,,,,,,,,,,,,,,,,,"$8,536,370"
60,Tyler Flowers,,,,"$400,000.00","$414,000.00","$483,000.00","$510,000.00","$950,000.00","$2,675,000.00","$2,400,000.00","$3,600,000.00","$4,300,000.00","$6,000,000.00","$1,481,481.00",,,,,,,,,,,,,,,,,,,,,"$23,213,481"
61,Kyle Gibson,,,,,,,"$149,945.00","$502,500.00","$537,500.00","$587,500.00","$2,900,000.00","$4,200,000.00","$8,125,000.00","$4,629,629.00","$11,500,000.00","$8,000,000.00","$10,000,000.00","$13,000,000.00","$5,250,000.00",,,,,,,,,,,,,,,,"$69,382,074"
62,Ike Davis,,,,"$400,000.00","$432,000.00","$506,690.00","$3,125,000.00","$3,499,700.00","$3,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$11,763,390"
63,Zack Britton,,,,,"$359,658.00","$486,000.00","$149,945.00","$521,500.00","$3,450,000.00","$6,750,000.00","$11,400,000.00","$12,000,000.00","$13,000,000.00","$4,814,815.00","$13,000,000.00","$14,000,000.00",,,,,,,,,,,,,,,,,,,"$79,931,918"
64,Jason Knapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
65,Alex White,,,,,,"$480,000.00","$497,100.00","$172,819.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,149,919"
66,Daniel Hudson,,,"$65,573.00","$179,234.00","$419,000.00","$504,000.00","$518,500.00","$700,000.00","$800,000.00","$2,700,000.00","$5,500,000.00","$5,968,000.00","$1,500,000.00","$2,000,000.00","$6,000,000.00","$6,000,000.00","$6,500,000.00","$2,000,000.00",,,,,,,,,,,,,,,,,"$41,354,307"
67,Tim Beckham,,,,,,,"$34,808.00","$191,333.00","$410,922.00","$401,973.00","$885,000.00","$3,350,000.00","$1,047,280.00",,,"$153,860.00",,,,,,,,,,,,,,,,,,,"$6,475,176"
68,Alex Colome,,,,,,,"$109,781.00","$43,715.00","$510,800.00","$521,700.00","$547,900.00","$5,300,000.00","$7,325,000.00","$3,900,926.00","$6,250,000.00","$4,100,000.00","$30,968.00",,,,,,,,,,,,,,,,,,"$28,640,790"
69,Arodys Vizcaino,,,,,"$113,736.00","$480,000.00","$491,000.00","$73,770.00","$252,363.00","$897,500.00","$1,550,000.00","$3,400,000.00","$4,800,000.00",,,"$104,405.00",,,,,,,,,,,,,,,,,,,"$12,162,774"
70,Josh Vitters,,,,,,"$480,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$480,000"
71,Jhoulys Chacin,,,,"$400,000.00","$419,000.00","$482,000.00","$1,650,000.00","$4,850,000.00","$1,441,202.00","$1,322,407.00","$1,750,000.00","$9,500,000.00","$6,086,536.00","$88,450.00","$850,000.00","$1,250,000.00",,,,,,,,,,,,,,,,,,,"$30,089,595"
